"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"Fast Balder";"Large Cap";74124;411,799987792969;-0,0480814123153687;0,158042688369751;-0,0885347557067871;-0,0216575264930725;0,00885510444641113
"Feelgood";"Small Cap";297,611999511719;2,79999995231628;0,0447760772705078;0,0937500095367432;-0,0175438439846039;0,0153019428253174;0,0310796499252319
"Fenix Outdoor";"Large Cap";15400,419921875;1148;0,15842583656311;0,187176837921143;0,313501148223877;0,0284342765808105;0,168810615539551
"Fingerprint Cards";"Mid Cap";9419,3154296875;30,5;0,985030975341797;0,760461654663086;1,17857139587402;0,547995452880859;0,743798828125
"Formpipe Software";"Small Cap";1600,2900390625;30;0,111111106872559;-0,00332227170467377;0,621621627807617;0,0118726491928101;0,084226245880127
"Getinge";"Large Cap";59894,16015625;219,899993896484;0,211236515045166;0,158893251419067;0,373516464233398;0,0675171613693237;0,147609119415283
"GHP Specialty Care";"Small Cap";1608,88500976563;22,8999996185303;0,0456621026992798;0,0827423191070557;0,359050407409668;-0,0682724094390869;0,0891666412353516
"ICA Gruppen";"Large Cap";81564,703125;405,5;-0,0231269717216492;-0,0447585391998291;0,127015047073364;-0,0180123448371887;-0,0531297922134399
"Haldex";"Mid Cap";2253,72607421875;48,2999992370605;0,207499980926514;0,195544490814209;0,0638766002655029;-0,00617283582687378;0,168416385650635
"Havsfrun Investment";"Small Cap";279,648590087891;23,1000003814697;0,0947867298126221;0,3014084815979;0,255434837341309;0,0484750270843506;0,212550640106201
"Heba";"Mid Cap";8957,759765625;108,5;-0,0482456159591675;0,169181003570557;0,282505931854248;-0,00704675912857056;0,0794838666915894
"Hennes & Mauritz";"Large Cap";334806,5;202,300003051758;0,0890982627868652;0,495195846557617;0,166935863494873;0,115510101318359;0,273520469665527
"Hexagon";"Large Cap";262426,40625;714;0,00252736270427704;0,121583452224731;0,392899017333984;-0,0351768136024475;0,100794429779053
"Hexpol";"Large Cap";31735,330078125;92,1999969482422;0,0388732051849365;0,317142810821533;0,285913543701172;0,00186896324157715;0,15778600692749
"HMS Networks";"Mid Cap";14325,7001953125;306;0,267080745697021;0,460620536804199;1,41706161499023;0,0764414072036743;0,38272274017334
